date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2013-01-01,45.22857142857143,32.13809523809524,,41.68095238095238,,1.1428571428571428,,,,,
2013-01-02,33.65416666666666,27.75,,42.76666666666667,,7.541666666666667,,,,83.28571428571429,62.19047619047619
2013-01-03,35.079166666666666,32.483333333333334,,44.737500000000004,,7.208333333333333,,,,92.29166666666667,65.45833333333333
2013-01-04,37.425000000000004,29.9375,,39.266666666666666,,4.958333333333333,,,,84.125,62.375
2013-01-05,49.875,43.9625,,51.725,,4.125,,,,116.70833333333333,73.66666666666667
2013-01-06,20.116666666666667,17.579166666666666,,31.75,,15.666666666666666,,,,87.75,60.125
2013-01-07,14.487499999999999,14.475,,35.8375,,16.041666666666668,,,,55.541666666666664,29.166666666666668
2013-01-08,24.900000000000002,25.27916666666667,,37.0,,8.875,,,,63.875,38.583333333333336
2013-01-09,43.59583333333333,39.795833333333334,,56.729166666666664,,3.5416666666666665,,,,95.08333333333333,66.375
2013-01-10,30.204166666666666,26.645833333333332,,56.4625,,4.958333333333333,,,,96.91666666666667,67.04166666666667
2013-01-11,42.887499999999996,39.13333333333333,,57.3375,,7.583333333333333,,,,91.58333333333333,65.25
2013-01-12,52.12083333333334,47.5,,47.49166666666667,,6.291666666666667,,,,117.95833333333333,74.16666666666667
2013-01-13,38.8125,34.112500000000004,,41.27916666666667,,12.041666666666666,,,,127.54166666666667,77.25
2013-01-14,22.46666666666667,19.3875,,42.020833333333336,,18.25,,,,76.04166666666667,52.0
2013-01-15,31.116666666666664,25.495833333333334,,47.11666666666667,,15.125,,,,64.20833333333333,37.916666666666664
2013-01-16,40.975,36.925000000000004,,59.17916666666667,,2.7916666666666665,,,,100.41666666666667,68.33333333333333
2013-01-17,18.204166666666666,13.1875,,31.1875,,15.708333333333334,,,,79.58333333333333,54.75
2013-01-18,18.241666666666667,11.616666666666667,,29.916666666666668,,8.958333333333334,,,,39.375,20.0
2013-01-19,67.61666666666666,58.22083333333333,,73.5125,,0.375,,,,86.75,53.541666666666664
2013-01-20,77.57083333333334,67.02083333333333,,51.324999999999996,,0.9583333333333334,,,,158.58333333333334,97.58333333333333
2013-01-21,27.400000000000002,19.004166666666666,,36.112500000000004,,11.0,,,,113.54166666666667,71.33333333333333
2013-01-22,27.59583333333333,23.15833333333333,,47.458333333333336,,10.083333333333334,,,,64.70833333333333,38.541666666666664
2013-01-23,35.9,29.954166666666666,,56.050000000000004,,7.916666666666667,,,,81.625,60.916666666666664
2013-01-24,48.89166666666667,39.92916666666667,,64.65833333333333,,2.5416666666666665,,,,108.875,71.125
2013-01-25,23.745833333333334,17.233333333333334,,43.07916666666667,,11.916666666666666,,,,79.29166666666667,51.583333333333336
2013-01-26,27.46666666666667,23.358333333333334,,48.2125,,8.541666666666666,,,,66.58333333333333,41.208333333333336
2013-01-27,39.2625,32.82083333333333,,58.56666666666666,,7.75,,,,78.25,57.583333333333336
2013-01-28,44.82916666666667,36.416666666666664,,59.354166666666664,,5.125,,,,107.45833333333333,70.70833333333333
2013-01-29,41.270833333333336,33.675000000000004,,61.11666666666667,,2.875,,,,97.25,67.375
2013-01-30,45.85833333333333,41.108333333333334,,59.9625,,2.875,,,,107.875,70.91666666666667
2013-01-31,25.27916666666667,16.420833333333334,,41.92916666666667,,14.666666666666666,,,,84.45833333333333,56.458333333333336
2013-02-01,24.229166666666668,17.829166666666666,,45.87916666666666,,15.208333333333334,,,,58.833333333333336,32.5
2013-02-02,38.483333333333334,32.40833333333333,,58.725,,5.083333333333333,,,,72.70833333333333,48.791666666666664
2013-02-03,27.933333333333334,23.53333333333333,,41.59166666666666,,14.083333333333334,,,,96.75,67.16666666666667
2013-02-04,23.5625,19.2125,,39.15833333333333,,17.75,,,,70.375,46.625
2013-02-05,22.77916666666667,18.0,,41.81666666666667,,24.75,,,,54.083333333333336,30.25
2013-02-06,26.099999999999998,20.758333333333333,,50.69166666666666,,10.916666666666666,,,,67.375,41.458333333333336
2013-02-07,31.483333333333334,26.90833333333333,,52.916666666666664,,17.666666666666668,,,,75.83333333333333,55.375
2013-02-08,25.641666666666666,22.308333333333334,,47.80833333333334,,27.25,,,,76.95833333333333,57.875
2013-02-09,29.683333333333334,25.21666666666667,,45.324999999999996,,26.375,,,,72.45833333333333,50.166666666666664
